id,latitude,longitude,nome,tipo,dist_origem_km,dist_concorrente_km,score_janela,score_dist_concorrente,score_potencial
10110046331,-16.6670697,-49.2582603,Auto Posto 68,fuel,172.80697564487176,0.6896442400585443,0.35463390526642813,0.0010720283093786438,0.2556206180601355
10112072039,-16.6903867,-49.2393453,Sem nome,fuel,172.65288065270514,1.4062274768262009,0.3538718133170383,0.0021859323648607785,0.25549753410714626
3062779172,-16.6366415,-49.2787827,Sem nome,fuel,172.73147125653796,0.7961420302527542,0.35426049088297706,0.0012375754702811529,0.2554462335783356
8723387589,-16.6716142,-49.2524138,FM Restaurante,restaurant,172.58320005424073,1.1399537975158074,0.3535272010595487,0.001772019066260735,0.25516659276307246
10111794204,-16.6728614,-49.2505677,Auto Posto Alameda,fuel,172.50130038228303,1.3321134856592247,0.35312215817152837,0.002070724708453335,0.25501317872291807
10110262118,-16.6635771,-49.25836,Posto Avila,fuel,172.59541857556135,0.4102453780814582,0.353587628959255,0.0006377123646501184,0.25486255749241304
11878596955,-16.7090263,-49.2202812,AlphaPark Hotel,hotel,172.23783138163674,2.0781350836694195,0.3518191462988959,0.003230389686452617,0.25457927109273837
5236049225,-16.6725875,-49.2489623,Hotel Metrópole,hotel,172.34369765399285,1.3756917855593742,0.3523427183679172,0.002138465680470425,0.2545658371323565
10801667253,-16.6663286,-49.2548706,Buraco Amarelo,restaurant,172.46304959856056,0.5172826901647891,0.35293298515608595,0.0008040981938181929,0.254519686959262
2594280413,-16.6598209,-49.2593474,Jota's Grill,restaurant,172.4459654620206,0.30662165546295295,0.3528484938774511,0.00047663284318437334,0.25437075258689096
2592135111,-16.6485876,-49.2644077,BR,fuel,172.19093367996356,1.4720217531136943,0.35158720909972097,0.002288207309938672,0.25415745406027923
10111765485,-16.6719081,-49.2472498,Alves e Rocha,fuel,172.15092349702854,1.4089457610684517,0.35138933480231727,0.002190157844450637,0.25400931464219056
10111730697,-16.6564931,-49.2592174,Mangabeiras Hotel,hotel,172.22588706190137,0.6163398023740648,0.3517600744901157,0.000958079076083846,0.2538621348243596
10024596817,-16.675507,-49.2428817,Restaurante Universitário - Campus I,restaurant,172.00020382443782,2.011456135923465,0.3506439358280803,0.0031267395499457503,0.25384304976929695
2547498621,-16.6571762,-49.2583334,Posto Tião Peixoto,fuel,172.1908791945256,0.5972898402000253,0.35158693963662513,0.0009284665634912241,0.2537493701584874
10111766746,-16.6585516,-49.2575012,Hotel Fortaleza Prime,hotel,172.20395229417835,0.4345148656136325,0.3516515939375784,0.0006754384503293002,0.2537122543051108
5580802121,-16.6569421,-49.2581322,Hotel Contorno,hotel,172.1585022972194,0.6203782150022369,0.351426816504547,0.0009643566499558255,0.25366406330518
11365310211,-16.656293,-49.2584956,Hotel Cerrado,hotel,172.14981722463773,0.6709582091538803,0.35138386362333207,0.0010429815154577326,0.2536618790361016
